Name,Team,PTS,Rebounds,Assists
Russell Westbrook,OKC,31,10.6,10.3
Isaiah Thomas,BOS,29.7,2.7,6.2
James Harden,HOU,28.9,8.1,11.3
Anthony Davis,NO,28.1,11.8,2.2
DeMar DeRozan,TOR,27.7,5.3,3.7
DeMarcus Cousins,NO,27.6,10.7,4.8
Damian Lillard,POR,25.9,4.9,5.8
Kawhi Leonard,SA,25.8,5.8,3.3
Kevin Durant,GS,25.7,8.4,4.9
LeBron James,CLE,25.7,7.8,8.9
Stephen Curry,GS,24.9,4.3,6.4
Kyrie Irving,CLE,24.6,3.3,5.9
Jimmy Butler,CHI,24.3,6.3,5.1
Karl-Anthony Towns,MIN,24,12.1,2.9
Giannis Antetokounmpo,MIL,23.6,8.7,5.4
Carmelo Anthony,NY,23.5,6,2.9
Andrew Wiggins,MIN,23.4,4.2,2.5
C.J. McCollum,POR,23.3,3.6,3.6
John Wall,WAS,22.9,4.5,10.7
Kyle Lowry,TOR,22.8,4.7,6.9
Kemba Walker,CHA,22.7,4.1,5.4
Bradley Beal,WAS,22.6,2.9,3.6
Gordon Hayward,UTA,22.5,5.6,3.5
Blake Griffin,LAC,22.3,8.7,5.1
Klay Thompson,GS,22.1,3.7,2.1
Paul George,IND,21.8,6.1,3.3
Eric Bledsoe,PHO,21.3,5,6.3
Devin Booker,PHO,21.1,2.8,3.2
Brook Lopez,BKN,20.5,5.1,2.6
Marc Gasol,MEM,20.5,6.2,4.4
Goran Dragic,MIA,20.3,3.9,6.1
Joel Embiid,PHI,20.2,7.8,2.1
Jabari Parker,MIL,20.1,6.2,2.8
Kevin Love,CLE,20,11.1,1.9
Harrison Barnes,DAL,20,5.2,1.5
Mike Conley,MEM,19.4,3.6,6.2
Dwyane Wade,CHI,19.2,4.6,3.9
Zach LaVine,MIN,18.9,3.4,3
Lou Williams,HOU,18.7,2.2,3.2
Rudy Gay,SAC,18.7,6.3,2.8
Kristaps Porzingis,NY,18.1,7.1,1.3
Paul Millsap,ATL,17.9,7.8,3.7
Avery Bradley,BOS,17.7,6.9,2.4
George Hill,UTA,17.7,3.4,4
Derrick Rose,NY,17.6,3.9,4.4
Danilo Gallinari,DEN,17.4,5,2.2
Dennis Schroder,ATL,17.4,2.9,6.3
Chris Paul,LAC,17.4,5.4,9.8
LaMarcus Aldridge,SA,17.4,7.4,2.1
Eric Gordon,HOU,17.2,2.6,2.7
Hassan Whiteside,MIA,16.6,14.1,0.7
Evan Fournier,ORL,16.6,3.3,3.3
Tobias Harris,DET,16.3,5.1,1.6
Dion Waiters,MIA,16.1,3.5,4.4
Victor Oladipo,OKC,16.1,4.4,2.5
Jrue Holiday,NO,15.9,4.1,7.4
Wilson Chandler,DEN,15.8,6.7,2.1
Nikola Jokic,DEN,15.6,8.9,4.4
Myles Turner,IND,15.6,7.2,1.2
Nicolas Batum,CHA,15.3,7,5.9
Jeff Teague,IND,15.3,4.1,8.1
Serge Ibaka,TOR,15.2,6.9,1.1
Wesley Matthews,DAL,15.1,3.6,2.5
J.J. Redick,LAC,15,2.2,1.3
Reggie Jackson,DET,15,2.3,5.5
Markieff Morris,WAS,14.7,6.7,1.8
D'Angelo Russell,LAL,14.6,3.8,4.7
Andre Drummond,DET,14.6,13.8,1
Kentavious Caldwell-Pope,DET,14.6,3.4,2.8
Otto Porter,WAS,14.3,6.7,1.5
Enes Kanter,OKC,14.3,6.8,1.1
Nikola Vucevic,ORL,14.2,10.1,2.8
Gary Harris,DEN,14.2,3,2.5
Al Horford,BOS,14.2,6.6,4.9
Zach Randolph,MEM,14.2,8.3,1.6
Marcus Morris,DET,14.2,4.8,2.1
Ersan Ilyasova,ATL,14.1,5.9,1.7
Bojan Bogdanovic,WAS,14,3.5,1.6
Jae Crowder,BOS,13.9,5.3,2.2
Ryan Anderson,HOU,13.9,5,1
Jordan Clarkson,LAL,13.8,2.9,2.1
Tyler Johnson,MIA,13.8,4.2,3.3
Dirk Nowitzki,DAL,13.8,6.2,1.6
Will Barton,DEN,13.7,4.6,3.4
Darren Collison,SAC,13.6,2.1,4.3
Nick Young,LAL,13.5,2.4,1
Sean Kilpatrick,BKN,13.3,4.1,2.3
Rodney Hood,UTA,13.3,3.5,1.8
Dwight Howard,ATL,13.3,12.9,1.2
Tim Hardaway Jr.,ATL,13.1,2.5,2.1
Jeremy Lin,BKN,13.1,2.9,5.5
Deron Williams,DAL,13.1,2.6,6.9
T.J. Warren,PHO,13.1,4,1
Rudy Gobert,UTA,13,12.8,1.1
Julius Randle,LAL,12.8,8.2,3.6
Elfrid Payton,ORL,12.5,3.9,5.7
Austin Rivers,LAC,12.4,2.1,2.9
Steven Adams,OKC,12.3,8,1.1
DeAndre Jordan,LAC,12.3,13.7,1.2
Jonas Valanciunas,TOR,12.3,9.7,0.7
Robert Covington,PHI,12.2,6.3,1.6
Jamal Crawford,LAC,12.2,1.7,2.8
J.J. Barea,DAL,12.2,2.9,4.9
Clint Capela,HOU,12.1,7.5,0.9
James Johnson,MIA,12.1,4.9,3.4
Seth Curry,DAL,12,2.6,2.8
Pau Gasol,SA,11.9,8,2.6
Jahlil Okafor,PHI,11.8,4.9,1.1
Trevor Ariza,HOU,11.8,5.5,2.2
