date,road,RPT,home,HPT
3/1/17,Dallas Mavericks,95,Atlanta Hawks,100
3/1/17,Cleveland Cavaliers,99,Boston Celtics,103
3/1/17,Houston Rockets,122,Los Angeles Clippers,103
3/1/17,Philadelphia 76ers,98,Miami Heat,125
3/1/17,Denver Nuggets,110,Milwaukee Bucks,98
3/1/17,Detroit Pistons,86,New Orleans Pelicans,109
3/1/17,New York Knicks,101,Orlando Magic,90
3/1/17,Brooklyn Nets,109,Sacramento Kings,100
3/1/17,Indiana Pacers,99,San Antonio Spurs,100
3/1/17,Washington Wizards,105,Toronto Raptors,96
3/1/17,Minnesota Timberwolves,107,Utah Jazz,80
3/2/17,Golden State Warriors,87,Chicago Bulls,94
3/2/17,Charlotte Hornets,103,Phoenix Suns,120
3/2/17,Oklahoma City Thunder,109,Portland Trail Blazers,114
3/3/17,Cleveland Cavaliers,135,Atlanta Hawks,130
3/3/17,Memphis Grizzlies,100,Dallas Mavericks,104
3/3/17,Boston Celtics,115,Los Angeles Lakers,95
3/3/17,Los Angeles Clippers,101,Milwaukee Bucks,112
3/3/17,Miami Heat,99,Orlando Magic,110
3/3/17,New York Knicks,102,Philadelphia 76ers,105
3/3/17,Oklahoma City Thunder,111,Phoenix Suns,118
3/3/17,Brooklyn Nets,97,Utah Jazz,112
3/3/17,Toronto Raptors,114,Washington Wizards,106
3/4/17,Los Angeles Clippers,101,Chicago Bulls,91
3/4/17,Charlotte Hornets,112,Denver Nuggets,102
3/4/17,Memphis Grizzlies,108,Houston Rockets,123
3/4/17,Cleveland Cavaliers,92,Miami Heat,120
3/4/17,Toronto Raptors,94,Milwaukee Bucks,101
3/4/17,Detroit Pistons,136,Philadelphia 76ers,106
3/4/17,Brooklyn Nets,116,Portland Trail Blazers,130
3/4/17,Minnesota Timberwolves,90,San Antonio Spurs,97
3/5/17,Indiana Pacers,97,Atlanta Hawks,96
3/5/17,Oklahoma City Thunder,89,Dallas Mavericks,104
3/5/17,New Orleans Pelicans,105,Los Angeles Lakers,97
3/5/17,Golden State Warriors,112,New York Knicks,105
3/5/17,Boston Celtics,106,Phoenix Suns,109
3/5/17,Utah Jazz,110,Sacramento Kings,109
3/5/17,Orlando Magic,114,Washington Wizards,115
3/6/17,Golden State Warriors,119,Atlanta Hawks,111
3/6/17,Indiana Pacers,88,Charlotte Hornets,100
3/6/17,Miami Heat,106,Cleveland Cavaliers,98
3/6/17,Sacramento Kings,96,Denver Nuggets,108
3/6/17,Chicago Bulls,95,Detroit Pistons,109
3/6/17,Boston Celtics,102,Los Angeles Clippers,116
3/6/17,Brooklyn Nets,122,Memphis Grizzlies,109
3/6/17,New York Knicks,113,Orlando Magic,105
3/6/17,Milwaukee Bucks,112,Philadelphia 76ers,98
3/6/17,Houston Rockets,110,San Antonio Spurs,112
3/6/17,New Orleans Pelicans,83,Utah Jazz,88
3/7/17,Los Angeles Lakers,111,Dallas Mavericks,122
3/7/17,Portland Trail Blazers,126,Oklahoma City Thunder,121
3/7/17,Washington Wizards,131,Phoenix Suns,127
3/8/17,Brooklyn Nets,105,Atlanta Hawks,110
3/8/17,Washington Wizards,123,Denver Nuggets,113
3/8/17,Boston Celtics,99,Golden State Warriors,86
3/8/17,Utah Jazz,115,Houston Rockets,108
3/8/17,Detroit Pistons,98,Indiana Pacers,115
3/8/17,Charlotte Hornets,101,Miami Heat,108
3/8/17,New York Knicks,93,Milwaukee Bucks,104
3/8/17,Los Angeles Clippers,91,Minnesota Timberwolves,107
3/8/17,Toronto Raptors,94,New Orleans Pelicans,87
3/8/17,Chicago Bulls,91,Orlando Magic,98
3/8/17,Sacramento Kings,104,San Antonio Spurs,114
3/9/17,Cleveland Cavaliers,101,Detroit Pistons,106
3/9/17,Los Angeles Clippers,114,Memphis Grizzlies,98
3/9/17,San Antonio Spurs,92,Oklahoma City Thunder,102
3/9/17,Los Angeles Lakers,122,Phoenix Suns,110
3/9/17,Philadelphia 76ers,108,Portland Trail Blazers,114
3/10/17,Toronto Raptors,99,Atlanta Hawks,105
3/10/17,Houston Rockets,115,Chicago Bulls,94
3/10/17,Orlando Magic,81,Charlotte Hornets,121
3/10/17,Brooklyn Nets,96,Dallas Mavericks,105
3/10/17,Boston Celtics,99,Denver Nuggets,119
3/10/17,Indiana Pacers,85,Milwaukee Bucks,99
3/10/17,Golden State Warriors,102,Minnesota Timberwolves,103
3/10/17,Washington Wizards,130,Sacramento Kings,122
3/11/17,New Orleans Pelicans,125,Charlotte Hornets,122
3/11/17,Phoenix Suns,100,Dallas Mavericks,98
3/11/17,New York Knicks,92,Detroit Pistons,112
3/11/17,Philadelphia 76ers,100,Los Angeles Clippers,112
3/11/17,Atlanta Hawks,107,Memphis Grizzlies,90
3/11/17,Toronto Raptors,89,Miami Heat,104
3/11/17,Minnesota Timberwolves,95,Milwaukee Bucks,102
