Team,Gp,W,L,Win,Min,Pts,Fgm,Fga,Fg,3pm,3pa,3p,Ftm,Fta,Ft,Oreb,Dreb,Reb,Ast,Tov,Stl,Blk,Blka,Pf,Pfd,,conference,short,Location
Atlanta Hawks,66,37,29,0.561,48.5,104,38.5,84.4,45.7,8.9,25.9,34.4,18,24.8,72.4,10,34.2,44.2,23.6,15.6,8.4,5,5.2,18.1,21.6,-0.4,E,ATL,Georgia
Boston Celtics,67,42,25,0.627,48.2,107.5,38.5,85,45.3,12.2,33.3,36.6,18.3,22.6,81.2,9,32.6,41.6,24.8,13.1,7.6,4.1,5.2,20.5,19.8,2.3,E,BOS,Massachusetts
Brooklyn Nets,65,12,53,0.185,48.2,105.8,37.9,85.2,44.5,11.1,32.2,34.4,18.9,24,78.6,8.7,34.8,43.6,21.3,17,7.1,4.7,5.7,21.4,20.2,-8.3,E,BKN,New York
Charlotte Hornets,66,29,37,0.439,48.5,105.2,37.7,85.7,44,10.2,28.7,35.5,19.6,24,81.5,9,35.8,44.8,23.3,12,6.7,4.9,5.7,17,20.1,0.9,E,CHA,North Carolina
Chicago Bulls,66,31,35,0.47,48.2,101.8,38.1,86.8,43.9,6.8,21.2,32.2,18.7,23.5,79.7,12.5,33.6,46.1,21.7,13.6,7.8,4.7,4.8,17.6,19.2,-1.5,E,CHI,Illinois
Cleveland Cavaliers,64,43,21,0.672,48.3,110.7,39.7,84.9,46.7,13.2,33.8,38.9,18.1,24.3,74.8,9.6,34.1,43.8,22.6,13.8,6.8,4,4.6,17.9,20.9,4.3,E,CLE,Ohio
Dallas Mavericks,65,28,37,0.431,48.3,98.4,36.4,82,44.3,10.7,29.8,36,15,18.5,80.9,7.9,30.8,38.7,20.3,12,7.6,3.6,3.4,19.2,19.6,-1.4,W,DAL,Texas
Denver Nuggets,66,31,35,0.47,48.2,110.7,40.7,87.5,46.6,10.5,28.4,36.9,18.7,24.5,76.3,12.4,34,46.3,24.8,15.3,7,4,4.8,19.5,20.3,-0.2,W,DEN,Colorado
Detroit Pistons,66,33,33,0.5,48.3,102.3,40.2,88.2,45.5,7.8,23.3,33.4,14.2,19.6,72.3,10.6,34.4,45,21.3,11.9,7.3,3.8,4.1,17.9,17.6,0.2,E,DET,Michigan
Golden State Warriors,66,52,14,0.788,48.3,116.3,43,87.5,49.2,11.8,31.3,37.9,18.4,23.2,79.1,9.4,35.2,44.6,30.3,14.7,9.7,6.6,3.9,19.3,19.8,11,W,GS,California
Houston Rockets,66,45,21,0.682,48.3,115.1,40.2,86.8,46.3,14.7,40.5,36.2,20.1,26.2,76.7,10.8,33.2,44,25.3,15.2,8.3,4.5,5,20.1,20.4,6.9,W,HOU,Texas
Indiana Pacers,66,34,32,0.515,48.4,104.7,39.1,84.1,46.4,8.4,22.6,37.1,18.2,22.5,81,8.6,33.1,41.7,22.5,13.9,8.2,5,5,19.7,19.8,-0.8,E,IND,Indiana
Los Angeles Clippers,66,40,26,0.606,48.2,107.8,39.3,83.7,46.9,10.2,27.3,37.5,19,25.7,74.1,9.3,33.8,43.1,22.5,13.2,7.8,4.4,3.4,20.2,22.3,3.1,W,LAC,California
Los Angeles Lakers,65,20,45,0.308,48,104.3,38.8,87.2,44.5,9.3,26.6,35.1,17.4,22.9,75.9,11.4,32.4,43.8,20.7,15.2,8,4,5.3,20.8,18.5,-6.7,W,LAL,California
Memphis Grizzlies,66,36,30,0.545,48.6,101.2,36.5,84,43.4,9.1,26.1,35,19.2,24.5,78.2,10.9,32.1,43.1,21,12.9,8.3,4.4,5,23.3,21.4,0.4,W,MEM,Tennessee
Miami Heat,67,32,35,0.478,48.2,102.3,38.8,85.7,45.3,9.8,26.9,36.5,14.9,21.3,69.9,10.5,33.4,44,21.3,13.3,7,5.6,4.9,20.5,18.5,0.6,E,MIA,Florida
Milwaukee Bucks,65,32,33,0.492,48.2,105.1,39.3,82.3,47.7,8.5,23,37,18,23.4,76.9,9.1,31.7,40.8,24.5,14,8.3,5.4,4.9,20.4,19.8,0.8,E,MIL,Wisconsin
Minnesota Timberwolves,65,27,38,0.415,48.3,104.7,39.2,84.3,46.5,7.5,21.6,34.9,18.8,23.8,78.9,11.6,31.6,43.2,23.4,14.3,7.8,4.5,5,20.2,20.6,-0.1,W,MIN,Minnesota
New Orleans Pelicans,66,26,40,0.394,48.7,102.9,38.4,86.5,44.4,9.3,26.6,35.1,16.8,22.5,74.8,8.7,35.3,44,22.4,13.3,7.7,5.6,4.4,18.6,19.5,-3.2,W,NO,Louisiana
New York Knicks,67,26,41,0.388,48.5,105.5,39.8,89,44.7,9.1,25.2,35.9,16.9,21.5,78.4,12.1,33.7,45.8,21.7,14.1,7.1,5.8,4.6,20.6,18.5,-3.3,E,NY,New York
Oklahoma City Thunder,66,37,29,0.561,48.3,106.3,39.2,87,45.1,8.4,25.9,32.5,19.5,26,74.8,11.9,34.3,46.2,20.7,15,7.7,5.1,5.4,20.8,20.9,0.1,W,OKC,Oklahoma
Orlando Magic,67,24,43,0.358,48.2,99.7,37.9,86.1,44.1,8.3,25.7,32.4,15.6,21.3,73,9.9,33,42.9,21.7,13.2,6.8,5,5,19.1,18.7,-6.4,E,ORL,Florida
Philadelphia 76ers,65,23,42,0.354,48.4,101.8,37.4,85,44.1,10.2,29.3,34.6,16.8,22,76.3,9.7,33.1,42.8,23.5,16.8,8.3,5.2,5.3,21.7,19.9,-6.2,E,PHI,Pennsylvania
Phoenix Suns,66,22,44,0.333,48.5,107.7,39.7,87.6,45.3,7.8,22.9,34.2,20.4,25.9,78.9,11.6,32.9,44.5,19.3,15.8,8.2,4.8,5.4,24.9,22,-5,W,PHO,Arizona
Portland Trail Blazers,64,28,36,0.438,48.8,108.5,39.8,86.5,46,10.3,27.9,37,18.7,23.9,78,10,33.3,43.4,21.9,14,6.9,5.1,5.1,21.8,20.1,-2.1,W,POR,Oregon
Sacramento Kings,66,25,41,0.379,48.6,102.8,37.6,82.3,45.7,9.1,24.7,37,18.5,23.7,77.9,9,32,41,22.5,14.6,7.9,3.9,5.2,20.7,20.6,-3.3,W,SAC,California
San Antonio Spurs,65,51,14,0.785,48.3,106.5,39.5,83.6,47.3,9,22.9,39.4,18.4,22.9,80.5,9.8,34.2,44,23.8,13.3,8.1,5.9,4,18.3,20.2,8.2,W,SA,Texas
Toronto Raptors,66,38,28,0.576,48.2,107.3,39.1,84.7,46.2,8.8,24.4,36.3,20.2,25.2,80.1,10.7,32.1,42.8,18.2,12.3,8.4,4.9,4.8,21,20.4,3.5,E,TOR,
Utah Jazz,66,41,25,0.621,48.2,100.6,36.7,79,46.4,9.5,26,36.6,17.8,23.5,75.7,9.2,33.9,43.1,19.6,13.8,6.9,4.8,3.7,19.2,20.5,4.1,W,UTA,Utah
Washington Wizards,65,41,24,0.631,48.5,109.2,41.4,87,47.6,9.1,24.1,37.8,17.3,22,78.7,10.3,32.8,43.1,23.9,14.2,8.6,4.2,4.4,21.2,19.8,2.5,E,WAS,Wisconsin
